area,perimetro,largura,altura,aspect,extent,solidity,circularidade,hu1,hu2,hu3,hu4,hu5,hu6,hu7,hull_area,num_vertices,defeitos,classe
297337.5,10989.4225628376,1888.0,437.0,4.320366132723112,0.3603846284373424,0.46319122337628954,0.0309392515434327,0.06843266665125651,0.18554143760429023,1.6843561184233757,1.9038012831177937,3.698889442581931,2.0636313937821082,-4.864668981662612,641932.5,23,10,moeda
368255.0,9721.072277665138,1968.999755859375,326.99993896484375,6.02140710512813,0.5719463836192636,0.6322739490358918,0.048970007649010966,0.18280507394272968,0.4075651313802398,2.943464200295775,3.2459565890902873,6.362124450645347,3.6194404832395954,-6.852626921101279,582429.5,22,11,moeda
212215.5,9168.319971203804,1713.999755859375,280.99993896484375,6.0996445841713,0.44061585420151117,0.5173918237583015,0.031725424505744095,0.0186780805496243,0.07028386482329865,1.98331122093542,2.0877878901474016,4.124343289006154,2.163975450975001,-5.290821341076526,410164.0,18,15,moeda
342375.0,12770.233746170998,2470.0,391.0,6.3171355498721224,0.35450987295111674,0.44965859437281575,0.02638239485525823,-0.13737740855241756,-0.251981593271446,1.8537394644474,2.0574251546518636,4.01720693354499,1.9552111203169658,4.871857863195982,761411.0,19,7,moeda
413542.5,15081.03482246399,2186.0,558.0,3.917562724014337,0.3390281753878543,0.45676780797179484,0.022849027870591943,0.16163884982738344,0.42230692777741524,2.1942783272723414,2.8340270894313857,5.3604963777995644,3.212105569822446,5.977230119846377,905367.0,12,17,moeda
256594.0,6757.20013320446,1381.0,344.0,4.0145348837209305,0.5401251199838337,0.6254820419565419,0.07061920059471177,0.29741862224752497,0.6787928728321501,2.5418917482985814,3.411911745959016,-6.8577393108258295,-4.0542921172185675,-6.4152826601915365,410234.0,22,16,moeda
211999.5,10228.888512849808,1299.0,457.0,2.8424507658643328,0.35711614556223187,0.45555678517975734,0.025461724246191406,0.26127876924807386,0.6870333258974869,1.6891045852718742,1.9055549880386973,3.7044583889979434,2.249931081720071,-4.773567177658937,465363.5,21,12,moeda
103784.5,1249.4183880090714,368.0,356.0,1.0337078651685394,0.7921997129946263,0.9857482072469963,0.8354617567048771,0.797609676677522,4.411132959075661,5.444992482792031,8.57249217409073,9.99999939201318,9.971630271902226,9.999999112468533,105285.0,13,56,moeda
116982.0,1427.293497800827,399.0547180175781,382.69927978515625,1.0427370499406314,0.7660003134141667,0.9659392107805495,0.7216096485280508,0.7968320473021263,4.248706637341201,5.1660675379913545,8.214466081546792,-9.999994907599262,-9.846982448867868,9.999998621289249,121107.0,12,34,moeda
138453.0,5708.631591677666,1127.0,377.0,2.989389920424403,0.32586454025734385,0.46991601430251484,0.053388559280007596,0.1504644977512191,0.38780142907306014,1.3188937576474327,1.336974196804073,2.66552417861046,1.531730386364194,-3.93879449555432,294633.5,24,12,moeda
181015.5,5990.531086444855,1157.0,340.0,3.402941176470588,0.4601543037266765,0.5252093403819482,0.06338623784426986,0.3084160584268902,0.7399435640710078,1.6952791024644986,1.873866331185505,3.6592875103678155,2.250799641507063,-4.862871750576611,344654.0,19,15,moeda
177336.0,7890.195080637932,1141.0,398.0,2.8668341708542715,0.39050643224888687,0.4866580405081841,0.035795735490034654,0.22723440822071753,0.6034270985042094,2.4282970174640397,2.6891046272221217,5.257595004237888,2.9957366716100142,5.925471438051823,364395.5,24,9,moeda
92579.0,1263.0924875736237,367.41693115234375,325.7811584472656,1.1278028873846544,0.7734412964884415,0.9685211532828388,0.729209042063617,0.7951455470278814,3.6693227164630473,4.7775631866341675,7.537364394794058,9.999950408634353,9.554248164583404,9.99992823623805,95588.0,11,41,moeda
105457.0,1269.9452990293503,371.41119384765625,363.39013671875,1.0220728531636352,0.7813530082071865,0.9859065390853975,0.8217037084230188,0.797028696323393,4.043592057154304,5.043425035307627,7.8214460540486686,9.999977958188365,9.637818589955481,9.999990596434312,106964.5,12,55,moeda
98820.0,1212.4305809736252,360.17156982421875,350.0525207519531,1.0289072309793077,0.7837944995724456,0.9882494124706235,0.844774798863595,0.7976715851235372,4.500692749492432,5.2660375958704755,8.460576506702017,9.9999992138693,9.979241041101083,9.999998191968126,99995.0,13,65,moeda
102794.5,1338.021420121193,367.2561950683594,365.2926940917969,1.005375144393304,0.7662310759962363,0.9546560546820584,0.721528699766815,0.796638824125426,5.082007734827869,5.914196387846511,7.112446048336757,-9.99989809765168,-9.992954029176973,9.999988143049334,107677.0,12,45,moeda
101179.0,1288.121924161911,365.9563903808594,357.7361755371094,1.0229784276957958,0.7728552968080821,0.9734927935035695,0.7662779039008841,0.7973177277863653,4.372609468490856,5.320863183826011,8.555324386118103,9.99999868454007,9.930126903900705,-9.999999892192413,103934.0,12,29,moeda
100046.5,1222.6732213497162,361.05804443359375,355.9858093261719,1.0142484193879044,0.77838093182697,0.987075323240246,0.8409902541581272,0.797628477746426,4.430877587725787,5.342451792703672,8.363551875706728,9.999997462529759,9.901175744251589,-9.99999978172343,101356.5,13,63,moeda
96668.5,1199.0752446651459,356.0,344.0,1.0348837209302326,0.7893625881891821,0.987123389785509,0.8448935018474111,0.7976417379554106,4.637941034529673,5.2681919448141,8.544872034518143,9.999998772083757,9.948628394654211,9.999999217834993,97929.5,11,57,moeda
99470.0,1232.832601070404,365.0,349.0,1.0458452722063036,0.780861168897437,0.9841353074742638,0.8224201857372159,0.7975467767803902,4.618984628528213,5.190241536996777,8.4932498789971,9.999998800076426,9.94563042410576,9.999998507488735,101073.5,12,60,moeda
97488.0,1195.6021548509598,357.2251281738281,347.16839599609375,1.028967879258939,0.7860840370064681,0.9872552444896782,0.8570134673383402,0.7974610607628705,4.436123217425683,5.147267038107666,7.9829275495891165,9.99998926451487,9.796295053557618,9.999994377404693,98746.5,13,68,moeda
188209.0,7819.366653680801,1377.0,319.0,4.316614420062696,0.4284654068291661,0.5002252500674421,0.03868183743878558,0.12486831905192346,0.3222033975533597,3.1114979810983945,3.4314454490999036,6.735208129701207,3.6940220763388876,-7.1306467381173055,376248.5,28,11,moeda
103378.5,1464.1980443000793,382.96942138671875,369.5372619628906,1.0363485927034255,0.7304792621300242,0.9125282465927548,0.6059551006288242,0.7940095210454398,4.190157727336104,4.902213514409678,6.553380160447705,9.998028996376966,8.679473569013918,9.99887957243131,113288.0,11,23,moeda
106378.5,1484.246815443039,394.74786376953125,362.0523681640625,1.0903059846598018,0.7443251288117009,0.917475225749696,0.606808247144634,0.7934231015803755,4.553740014996024,4.822429410256426,6.61359959703923,9.998042268535274,-9.166470914011267,9.999509656764737,115947.0,12,28,moeda
199942.5,8861.404108643532,4079.0,92.0,44.33695652173913,0.5327992261530426,0.5970063465095691,0.031997046879085424,-0.8326692160309836,-1.6650210874025206,-0.4829929903899201,-0.48169301836453227,-0.9640360225218516,-1.3141894746151992,3.5582169995126147,334908.5,3,5,moeda
103203.0,1255.6610275506973,369.9953308105469,354.91864013671875,1.042479286712077,0.7858999653113692,0.984409204721593,0.8225406230661788,0.7974523338381668,4.475402483126033,5.077729171346541,8.306068643769787,9.999996170103536,9.902578726267436,9.99999820065194,104837.5,11,47,moeda
626566.5,16586.57392656803,2623.0,672.0,3.9032738095238093,0.35546726077011054,0.48296281850773004,0.0286196064716641,0.12624566087103664,0.3020420009529627,2.4051913782547003,3.2351887737448997,6.293476757375872,4.07857467737497,6.143553130836879,1297339.0,17,7,moeda
115456.5,1559.9970347881317,399.4816589355469,398.0731506347656,1.0035383152532023,0.7260368386971267,0.9030374608438565,0.5961845350137696,0.79375368246366,4.452678415298901,4.708006549435885,6.841082106212678,9.999055195505333,9.419121854288386,9.999541417129667,127853.5,16,26,moeda
121267.0,6045.0336124897,1167.0,269.0,4.338289962825279,0.3862953654240053,0.4705633551411298,0.04170182464341726,-0.007455656968659548,0.03421603817846323,2.0724366655428446,2.601662614942567,4.991034240791331,2.7124032091435986,5.273359626981479,257706.0,23,16,moeda
561345.0,14640.032735586166,3071.0,550.0,5.583636363636364,0.33234362511470944,0.4149576814795349,0.03291210251080096,-0.042386418478788365,-0.05630456340787332,0.4889864846852026,0.5313638482244889,1.0415941188282798,0.5032134776692995,-2.8393507976951424,1352776.5,15,5,moeda
125123.5,1573.9970345497131,427.46612548828125,391.41204833984375,1.0921128445109425,0.7478301827100245,0.937166931935212,0.6346597094217299,0.7936186760170651,3.722393515802995,4.9885243634703516,6.767461939249351,9.999062870371485,8.654787389907598,9.999711169804101,133512.5,13,25,moeda
257560.5,7294.697606444359,1372.0,379.0,3.620052770448549,0.4953200843096379,0.576671450609337,0.060823938270276705,0.25248656245556184,0.5848037704513585,2.406902863286813,2.5108894839363765,4.975279936175873,2.835988573628048,5.770764225816773,446633.0,18,18,moeda
187435.5,10555.928055047989,4079.0,430.0,9.486046511627906,0.1068635723530049,0.1989743192338498,0.021138242210663967,-0.8648352260715971,-1.7219979491524204,-1.2907627307396254,-1.1780479305590732,-2.411931530845401,-2.026884725808349,-1.1025383442445598,942008.5,7,4,moeda
118056.5,1423.8792845010757,398.95416259765625,385.9556579589844,1.0336787513555592,0.7667071105120137,0.9615287506108486,0.7317343189666502,0.796803659164173,4.23115736650995,6.225518836857965,7.879404737287056,-9.999998229264687,9.941494565166384,9.999995299932198,122780.0,15,30,moeda
170146.0,5218.08743429184,861.19091796875,537.7008666992188,1.6016171282284475,0.3674358827189995,0.5177157897139032,0.07852517336998704,0.545147404565462,1.6258590971048599,1.946429910552967,2.4107186720978864,4.589304698928375,3.2627504918547703,6.693849590619139,328647.5,25,11,moeda
263477.5,7574.330076098442,1385.0,429.0,3.2284382284382285,0.4434416365824308,0.5302227628876768,0.05771184306848238,0.1974738634038347,0.4645767979441581,2.3090612219681765,3.0865244157675082,-6.326691278121176,-3.696917001047616,-5.802924480826868,496918.5,20,6,moeda
117086.5,3241.889389872551,725.0,398.0,1.821608040201005,0.40577542886848034,0.5336558730563867,0.1399975069736178,0.434482589737115,1.1483397654993783,2.4606252576205008,3.2009288296536935,-6.169286100785111,-4.41803918527209,-6.195834754104236,219404.5,17,7,moeda
156045.0,7460.0874354839325,1162.0,340.0,3.4176470588235293,0.3949706388579528,0.4532008974275197,0.03523480613540686,0.11617843743927696,0.3215178411227482,1.0684182866772627,1.145220292656613,2.2528745621173982,1.3097469976048821,-3.4599942735475855,344317.5,22,6,moeda
113336.5,1574.4478260278702,403.0502014160156,388.08331298828125,1.0385661736200091,0.7245789035799227,0.9027487932709923,0.5745437619585623,0.7928631472732726,4.167267659632443,5.2597340921289,5.916140161442481,9.987087303954098,8.174272036099099,9.996372152534482,125546.0,16,31,moeda
191365.5,4747.369618296623,996.0,431.0,2.3109048723897914,0.4457866267855645,0.6878751824240289,0.1067007362819672,0.3714736331004431,0.8908703023801926,1.6699250489271387,2.041412211276141,3.9057811110946923,2.5033443154333024,-4.6000171792544675,278198.0,21,10,moeda
359210.0,6706.374128818512,2718.135009765625,221.876953125,12.250641499634686,0.5956144160090783,0.7831505233575989,0.10036510121346438,-0.1739210481251247,-0.3417146734941377,2.1611524565657456,2.5052856062038558,4.8560970660766065,2.4826328383503187,5.392908359997621,458673.0,8,31,lapis
384463.5,6247.313816905022,2900.78857421875,147.58984375,19.65439152528915,0.8980128809606832,0.9493371293961939,0.12378793981140446,-0.23247622790078878,-0.4608659885473021,3.375647701684327,3.698234436520288,7.249648981024947,3.592930509894546,-7.816703897239158,404981.0,5,43,lapis
388781.0,6316.601917266846,2792.20751953125,158.75421142578125,17.58824219184023,0.877065615195789,0.9391378496122365,0.12244692435963321,-0.19172858977961157,-0.3785162787891291,2.4336350011972345,2.479949366202659,4.936763491223757,2.2968647329795107,-6.900071475508184,413976.5,4,38,lapis
444355.0,6355.015821814537,2800.3037109375,184.2977752685547,15.194452059212102,0.8610033529327936,0.9203755197572481,0.13826321878002718,-0.13761980475677538,-0.2688786721083388,3.006491535014385,3.1275379074923126,6.195084637643379,3.021232529399802,-7.472876092872274,482797.5,5,39,lapis
476751.5,6145.765710473061,2742.433349609375,228.02284240722656,12.02701150752106,0.7623907730352171,0.8780059061480479,0.1586170732394986,-0.08717286011893323,-0.1662996729341502,2.4502241907169044,2.4961630157018924,4.969374235415748,2.418133683533687,-6.969738668244278,542993.5,6,41,lapis
524330.5,6048.9331077337265,2866.971923828125,200.63330078125,14.289611508480228,0.911546153999543,0.9536038600249891,0.18007665769821501,-0.09079531740703108,-0.17363629268845773,3.8781030159330356,4.746200240519457,-9.43701703191978,-4.920592191334714,-9.030140237440563,549841.0,5,40,lapis
497382.5,6192.157627820969,2772.742431640625,238.7442626953125,11.613859953481784,0.7513599268144279,0.8785651011560055,0.1630107923681762,-0.06973617974220976,-0.13085915057265776,3.0259585174587933,3.1788543240390332,6.282463639552692,3.153025703252371,-7.394580633817228,566130.5,6,42,lapis
453971.5,6096.935528993607,2677.040771484375,211.9309539794922,12.631664800335976,0.8001643724803548,0.8945330549729013,0.1534670862798489,-0.08796206606162904,-0.16797753646246819,3.5809527171875524,4.536534990039619,-8.582728271550037,-4.454335976397688,9.338009366147148,507495.5,5,37,lapis
479474.0,6377.893019080162,2763.97509765625,202.37181091308594,13.65790564004645,0.85719754428343,0.9149525086228694,0.1481223063335258,-0.09422511306677925,-0.18067795306231987,3.6439031268379227,3.9639741463440528,7.779796741957954,4.008025471426598,8.352819490691504,524042.5,5,42,lapis
447004.0,6249.970350265503,2714.976318359375,186.26177978515625,14.576132159216806,0.8839376149686713,0.9353974671253631,0.1438021433898684,-0.11060147426024916,-0.2139727565039432,2.8919663628971275,2.9405894081729507,5.856868017013728,2.8451190752662296,7.770887184001579,477876.0,6,46,lapis
439120.5,6582.3551568984985,2683.232177734375,270.421142578125,9.9224200894691,0.6051803461567086,0.753079877448017,0.12735938510751993,-0.10929890835612618,-0.2111476279718614,4.058936664208955,4.185174871744113,8.299331701238762,4.102703388815796,-9.391346054811487,583099.5,8,44,lapis
415846.5,6293.1734228134155,2737.27490234375,172.81982421875,15.838894147230423,0.8790651763060149,0.9401432212921568,0.1319482135900262,-0.15241866385872707,-0.2989168844599548,2.4987589336359277,2.5193452530546625,5.028393897250062,2.3711760004786444,7.662757231199553,442322.5,6,36,lapis
403820.5,6578.793394446373,2769.82177734375,200.84799194335938,13.79063714077291,0.7258870400461161,0.8118659504059124,0.11724807762041836,-0.1800775645291689,-0.35480777573001354,2.4440455550444957,2.462398073859905,4.9156168020797475,2.286007044322783,-7.747888034132054,497398.0,5,36,lapis
432913.5,6757.000333309174,2995.2177734375,192.06063842773438,15.595167224045724,0.7525482614682373,0.8483160598917152,0.11915248723709743,-0.21773614675316133,-0.43104124680812206,4.302831244868079,4.2386020876145265,8.495512930609612,4.023209330073455,-9.95833834737927,510321.0,5,38,lapis
348983.5,5774.908722758293,2773.858154296875,141.31088256835938,19.629473002229794,0.8903177587835339,0.956057623687242,0.1314996235291051,-0.24606776002213948,-0.48828912416208176,2.6016467534456758,2.609274421376405,5.21472792939737,2.3651314371501453,8.952353873375541,365023.5,5,37,lapis
396953.0,6137.671134710312,2960.201904296875,144.96426391601562,20.420218227106332,0.9250320925294754,0.9660127665062944,0.13241638377392592,-0.24638983185174304,-0.4889498870893447,2.974986049818725,3.019917049181793,6.017349222068962,2.782612694938046,-7.976351351657603,410919.0,4,29,lapis
